date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:24:00	297/297	---MCZ	200	added ('OK')	text/plain	date:Mon,%2013%20Apr%202026%2003:23:57%20GMT	https://mlr.ltd/robots.txt		(from )
10:24:00	23585/23585	---MCZ	200	added ('OK')	text/html	date:Mon,%2013%20Apr%202026%2003:23:57%20GMT	https://mlr.ltd/	D:/GFE/GFE/mlr.ltd/index.html	(from )
10:24:00	4962/4962	---M--	200	added ('OK')	image/png	date:Sat,%2031%20May%202025%2016:29:36%20GMT	https://mlr.ltd/favicons/favicon-96x96.png	D:/GFE/GFE/mlr.ltd/favicons/favicon-96x96.png	(from https://mlr.ltd/)
10:24:00	1958/1958	---MCZ	200	added ('OK')	image/svg+xml	date:Sat,%2031%20May%202025%2016:29:36%20GMT	https://mlr.ltd/favicons/favicon.svg	D:/GFE/GFE/mlr.ltd/favicons/favicon.svg	(from https://mlr.ltd/)
10:24:00	15086/15086	---M--	200	added ('OK')	image/x-icon	date:Sat,%2031%20May%202025%2016:29:36%20GMT	https://mlr.ltd/favicons/favicon.ico	D:/GFE/GFE/mlr.ltd/favicons/favicon.ico	(from https://mlr.ltd/)
10:24:01	6992/6992	---M--	200	added ('OK')	image/png	date:Sat,%2031%20May%202025%2016:29:36%20GMT	https://mlr.ltd/favicons/apple-touch-icon.png	D:/GFE/GFE/mlr.ltd/favicons/apple-touch-icon.png	(from https://mlr.ltd/)
10:24:01	454/454	---M--	200	added ('OK')	text/html	date:Sat,%2031%20May%202025%2016:29:36%20GMT	https://mlr.ltd/favicons/site.webmanifest	D:/GFE/GFE/mlr.ltd/favicons/site.html	(from https://mlr.ltd/)
10:24:01	3798/3798	---MCZ	200	added ('OK')	text/css	date:Tue,%2018%20Feb%202025%2011:38:26%20GMT	https://mlr.ltd/plugins-dist/mediabox/lib/lity/lity.css?1739878706	D:/GFE/GFE/mlr.ltd/plugins-dist/mediabox/lib/lity/litycc74.css	(from https://mlr.ltd/)
10:24:01	6682/6682	---MCZ	200	added ('OK')	text/css	date:Tue,%2018%20Feb%202025%2011:38:26%20GMT	https://mlr.ltd/plugins-dist/mediabox/lity/css/lity.mediabox.css?1739878706	D:/GFE/GFE/mlr.ltd/plugins-dist/mediabox/lity/css/lity.mediaboxcc74.css	(from https://mlr.ltd/)
10:24:02	2849/2849	---MCZ	200	added ('OK')	text/css	date:Tue,%2018%20Feb%202025%2011:38:26%20GMT	https://mlr.ltd/plugins-dist/mediabox/lity/skins/_simple-dark/lity.css?1739878706	D:/GFE/GFE/mlr.ltd/plugins-dist/mediabox/lity/skins/_simple-dark/litycc74.css	(from https://mlr.ltd/)
10:24:02	7784/7784	---MCZ	200	added ('OK')	text/css	date:Tue,%2018%20Feb%202025%2011:38:28%20GMT	https://mlr.ltd/plugins-dist/porte_plume/css/barre_outils.css?1739878708	D:/GFE/GFE/mlr.ltd/plugins-dist/porte_plume/css/barre_outilsad70.css	(from https://mlr.ltd/)
